,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
61,TOYOTA C-HR,"€25,495",TOYOTA,C-HR,Petrol,"38,750",Black,1.8,Automatic,Hatchback,2017,Limerick,2,5,-,-,http://www.cars.ie/used-cars/TOYOTA-C-HR-2017-Limerick-1735570
62,VOLKSWAGEN TAIGO,POA,VOLKSWAGEN,TAIGO,Petrol,0,Blue,1.0,Manual,SUV,2023,Westmeath,-,5,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-TAIGO-2023-Westmeath-1735628
63,KIA CEED,POA,KIA,CEED,Petrol,"30,898",White,1.4,Manual,Hatchback,2019,Kildare,3,5,Aug-2022,Feb-2023,http://www.cars.ie/used-cars/KIA-CEED-2019-Kildare-1735661
64,SKODA KAMIQ,"€27,950",SKODA,KAMIQ,Petrol,"4,999",Grey,1.0,Manual,SUV,2022,Kerry,1,5,Nov-2022,Jan-2026,http://www.cars.ie/used-cars/SKODA-KAMIQ-2022-Kerry-1735709
65,SKODA FABIA,"€22,950",SKODA,FABIA,Petrol,"4,999",White,1.0,Manual,Estate,2022,Kerry,1,5,Nov-2022,Jan-2026,http://www.cars.ie/used-cars/SKODA-FABIA-2022-Kerry-1735708
66,SKODA KAMIQ,"€27,500",SKODA,KAMIQ,Petrol,"3,000",Grey,1.0,Manual,SUV,2022,Kerry,1,5,Nov-2022,Jan-2026,http://www.cars.ie/used-cars/SKODA-KAMIQ-2022-Kerry-1735707
67,SKODA KAMIQ,"€26,950",SKODA,KAMIQ,Petrol,"3,800",Grey,1.0,Manual,SUV,2022,Kerry,1,5,Nov-2022,Jan-2026,http://www.cars.ie/used-cars/SKODA-KAMIQ-2022-Kerry-1735706
68,SEAT TARRACO,"€37,950",SEAT,TARRACO,Diesel,"62,000",Black,2.0,Manual,SUV,2019,Cork,1,5,Oct-2022,Apr-2023,http://www.cars.ie/used-cars/SEAT-TARRACO-2019-Cork-1735705
69,SKODA FABIA,"€14,995",SKODA,FABIA,Petrol,"65,333",Grey,1.0,Manual,Hatchback,2018,Dublin,1,4,Dec-2022,Apr-2024,http://www.cars.ie/used-cars/SKODA-FABIA-2018-Dublin-1735702
70,RENAULT KADJAR,"€27,495",RENAULT,KADJAR,Diesel,"59,850",Black,1.5,Automatic,SUV,2019,Dublin,2,5,Jun-2023,Jul-2023,http://www.cars.ie/used-cars/RENAULT-KADJAR-2019-Dublin-1735758
71,NISSAN PULSAR,"€15,995",NISSAN,PULSAR,Petrol,"24,200",Grey,1.2,Manual,Hatchback,2017,Dublin,3,5,Dec-2022,Jan-2023,http://www.cars.ie/used-cars/NISSAN-PULSAR-2017-Dublin-1735701
