,Name,Price,Make,Model,Fuel Type,Odometer,Colour,Engine Size ( in Litres),Transmission,Body Type,Manufacturing Year,County,Owners,Doors,Tax Expiry,NCT Expiry,Link
148,TOYOTA AURIS,"€10,950",TOYOTA,AURIS,Petrol,"97,376",Silver,1.8,Automatic,Hatchback,2012,Meath,5,5,May-2023,May-2023,http://www.cars.ie/used-cars/TOYOTA-AURIS-2012-Meath-1735659
149,TOYOTA COROLLA,"€2,995",TOYOTA,COROLLA,Petrol,"193,719",Black,1.4,Manual,Saloon,2008,Sligo,3,4,May-2023,Apr-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2008-Sligo-1735567
150,AUDI A4,POA,AUDI,A4,Diesel,"180,154",Black,2.0,Manual,Saloon,2014,Clare,1,4,Sep-2022,Feb-2024,http://www.cars.ie/used-cars/AUDI-A4-2014-Clare-1735577
151,VOLKSWAGEN GOLF,"€16,895",VOLKSWAGEN,GOLF,Diesel,"168,057",White,1.6,Manual,Hatchback,2016,Sligo,2,5,Feb-2023,Nov-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2016-Sligo-1735566
152,AUDI A1,"€14,395",AUDI,A1,Diesel,"177,267",Black,1.4,Manual,Hatchback,2015,Sligo,3,5,Dec-2022,Nov-2023,http://www.cars.ie/used-cars/AUDI-A1-2015-Sligo-1735430
153,FORD FOCUS,"€21,950",FORD,FOCUS,Diesel,"114,612",Black,1.5,Manual,Hatchback,2019,Clare,1,5,-,-,http://www.cars.ie/used-cars/FORD-FOCUS-2019-Clare-1735576
154,VOLKSWAGEN GOLF,"€18,900",VOLKSWAGEN,GOLF,Petrol,"93,002",Blue,1.5,Manual,Hatchback,2019,Donegal,1,5,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2019-Donegal-1735445
155,AUDI E-TRON,"€73,450",AUDI,E-TRON,Electric,"9,257",Black,0.0,Automatic,Estate,2021,Galway,1,5,-,Jan-2026,http://www.cars.ie/used-cars/AUDI-E-TRON-2021-Galway-1735602
156,TOYOTA PROACE,"€21,495",TOYOTA,PROACE,Diesel,"136,004",Silver,2.0,Manual,Van,2018,Galway,2,4,Jun-2022,-,http://www.cars.ie/used-cars/TOYOTA-PROACE-2018-Galway-1735693
157,TOYOTA C-HR,"€35,995",TOYOTA,C-HR,Hybrid,"22,101",Black,1.8,Automatic,SUV,2022,Galway,1,4,Aug-2022,Feb-2026,http://www.cars.ie/used-cars/TOYOTA-C-HR-2022-Galway-1735755
158,TOYOTA AURIS,"€20,495",TOYOTA,AURIS,Hybrid,"49,901",Grey,1.8,Automatic,MPV,2018,Galway,1,4,Jun-2022,Jul-2022,http://www.cars.ie/used-cars/TOYOTA-AURIS-2018-Galway-1735752
159,FIAT 500,"€15,950",FIAT,500,Petrol,"35,692",Light,1.2,Manual,Hatchback,2018,Galway,1,3,-,Dec-2024,http://www.cars.ie/used-cars/FIAT-500-2018-Galway-1735600
160,FORD RANGER,"€37,950",FORD,RANGER,Diesel,"128,441",Orange,3.2,Automatic,Van,2018,Galway,1,4,Nov-2022,Nov-2023,http://www.cars.ie/used-cars/FORD-RANGER-2018-Galway-1735601
161,VOLKSWAGEN GOLF,"€6,950",VOLKSWAGEN,GOLF,Petrol,"140,503",Grey,1.2,Manual,Hatchback,2010,Galway,-,3,Oct-2022,Nov-2022,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2010-Galway-1735599
162,HONDA CIVIC,"€3,950",HONDA,CIVIC,Petrol,"153,032",Blue,1.3,Manual,Hatchback,2007,Galway,2,5,Feb-2023,Mar-2023,http://www.cars.ie/used-cars/HONDA-CIVIC-2007-Galway-1735598
163,BMW 5 SERIES,"€15,950",BMW,5,Diesel,"150,003",Black,2.0,Automatic,Estate,2012,Dublin,6,-,Oct-2022,Dec-2022,http://www.cars.ie/used-cars/BMW-5-SERIES-2012-Dublin-1735780
164,HYUNDAI I30,"€11,990",HYUNDAI,I30,Petrol,"186,683",Grey,1.4,Manual,Hatchback,2016,Tipperary,1,5,Dec-2022,Sep-2024,http://www.cars.ie/used-cars/HYUNDAI-I30-2016-Tipperary-1735611
165,PEUGEOT 5008,"€12,995",PEUGEOT,5008,Diesel,"200,006",Blue,1.6,Manual,MPV,2015,Dublin,1,4,Apr-2023,May-2025,http://www.cars.ie/used-cars/PEUGEOT-5008-2015-Dublin-1735443
166,VOLKSWAGEN GOLF,"€21,950",VOLKSWAGEN,GOLF,Diesel,"127,891",Black,1.6,Manual,Hatchback,2019,Limerick,1,5,Dec-2022,Nov-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2019-Limerick-1735641
167,FORD FOCUS,POA,FORD,FOCUS,Diesel,"250,006",Blue,1.6,Manual,Estate,2013,Cavan,1,4,Jan-2023,May-2023,http://www.cars.ie/used-cars/FORD-FOCUS-2013-Cavan-1735560
168,FORD FIESTA,"€13,850",FORD,FIESTA,Diesel,"117,482",Blue,1.5,Manual,Hatchback,2019,Dublin,1,5,-,-,http://www.cars.ie/used-cars/FORD-FIESTA-2019-Dublin-1735639
169,SKODA FABIA,"€14,495",SKODA,FABIA,Petrol,"58,001",Grey,1.0,Manual,Hatchback,2019,Cavan,1,4,Dec-2022,Jul-2023,http://www.cars.ie/used-cars/SKODA-FABIA-2019-Cavan-1735426
170,LAND ROVER RANGE ROVER SPORT,"€74,950",LAND,ROVER,Petrol,"62,764",Blue,2.0,Automatic,SUV,2018,Dublin,2,5,Mar-2023,Oct-2024,http://www.cars.ie/used-cars/LAND-ROVER-RANGE-ROVER-SPORT-2018-Dublin-1735431
171,BMW 5 SERIES,"€21,900",BMW,5,Diesel,"193,121",Black,2.0,Automatic,Saloon,2015,Limerick,2,4,Apr-2023,Jun-2023,http://www.cars.ie/used-cars/BMW-5-SERIES-2015-Limerick-1735643
172,AUDI A6,"€30,000",AUDI,A6,Diesel,"40,306",Black,2.0,Automatic,Saloon,2017,Clare,1,4,Nov-2022,Dec-2023,http://www.cars.ie/used-cars/AUDI-A6-2017-Clare-1735667
173,HYUNDAI I30,"€14,450",HYUNDAI,I30,Diesel,"150,328",Silver,1.6,Automatic,Hatchback,2015,Galway,2,5,Feb-2023,Nov-2023,http://www.cars.ie/used-cars/HYUNDAI-I30-2015-Galway-1735592
174,SKODA OCTAVIA,"€23,950",SKODA,OCTAVIA,Petrol,"29,865",Black,1.0,Manual,Hatchback,2020,Galway,2,4,Jul-2023,Feb-2024,http://www.cars.ie/used-cars/SKODA-OCTAVIA-2020-Galway-1735591
175,CITROEN BERLINGO,POA,CITROEN,BERLINGO,Diesel,"126,901",White,1.6,Manual,Van,2018,Mayo,2,3,Mar-2023,Mar-2022,http://www.cars.ie/used-cars/CITROEN-BERLINGO-2018-Mayo-1735585
176,VOLVO XC90,"€50,900",VOLVO,XC90,Diesel,"114,263",Grey,2.0,Automatic,SUV,2017,Dublin,2,5,Jun-2023,Jun-2023,http://www.cars.ie/used-cars/VOLVO-XC90-2017-Dublin-1735607
177,AUDI A3,"€17,995",AUDI,A3,Diesel,"178,004",Black,1.6,Automatic,Saloon,2016,Galway,2,4,Dec-2022,Feb-2024,http://www.cars.ie/used-cars/AUDI-A3-2016-Galway-1735549
178,VOLKSWAGEN POLO,"€19,495",VOLKSWAGEN,POLO,Petrol,"59,114",White,1.0,Manual,Hatchback,2021,Donegal,1,5,Jun-2023,Jun-2025,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2021-Donegal-1735586
179,HYUNDAI SANTA FE,"€26,750",HYUNDAI,SANTA,Diesel,"138,003",Black,2.2,Automatic,SUV,2016,Dublin,-,5,Nov-2022,Jun-2024,http://www.cars.ie/used-cars/HYUNDAI-SANTA-FE-2016-Dublin-1735668
180,FORD FOCUS,"€7,800",FORD,FOCUS,Diesel,"158,731",Silver,1.6,Manual,Hatchback,2012,Mayo,1,5,-,Apr-2022,http://www.cars.ie/used-cars/FORD-FOCUS-2012-Mayo-1735584
181,HYUNDAI I30,"€5,250",HYUNDAI,I30,Diesel,"155,004",Silver,1.6,Manual,Estate,2010,Dublin,6,4,Feb-2023,Sep-2023,http://www.cars.ie/used-cars/HYUNDAI-I30-2010-Dublin-1735605
182,FORD MONDEO,"€8,695",FORD,MONDEO,Diesel,"13,993",White,1.6,Manual,Hatchback,2013,Dublin,1,5,Oct-2023,Jan-2024,http://www.cars.ie/used-cars/FORD-MONDEO-2013-Dublin-1735636
183,VOLKSWAGEN GOLF,"€14,995",VOLKSWAGEN,GOLF,Diesel,"51,332",Black,1.6,Manual,Hatchback,2014,Dublin,2,3,Jan-2023,Feb-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2014-Dublin-1735635
184,BMW X5,POA,BMW,X5,Diesel,0,Black,3.0,Automatic,Estate,2019,Westmeath,-,5,Feb-2023,May-2023,http://www.cars.ie/used-cars/BMW-X5-2019-Westmeath-1735559
185,MERCEDES-BENZ A CLASS,"€33,950",MERCEDES-BENZ,A,Petrol,"11,000",White,1.3,Manual,Hatchback,2019,Limerick,1,5,Jul-2023,Jul-2023,http://www.cars.ie/used-cars/MERCEDES-BENZ-A-CLASS-2019-Limerick-1735527
186,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,Diesel,0,Grey,1.6,Manual,Saloon,2018,Wicklow,2,4,Oct-2022,Jan-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2018-Wicklow-1735530
187,TOYOTA RAV4,"€36,950",TOYOTA,RAV4,Petrol,"47,522",Black,2.5,Automatic,SUV,2019,Kildare,1,4,Jan-2023,Feb-2023,http://www.cars.ie/used-cars/TOYOTA-RAV4-2019-Kildare-1735671
188,BMW 4 SERIES,"€24,950",BMW,4,Diesel,"77,849",Black,2.0,Automatic,Coupe,2015,Dublin,3,2,Sep-2022,Jun-2023,http://www.cars.ie/used-cars/BMW-4-SERIES-2015-Dublin-1735672
189,VOLKSWAGEN GOLF,"€39,995",VOLKSWAGEN,GOLF,Petrol,"87,944",White,2.0,Automatic,Hatchback,2018,Dublin,2,5,Jun-2022,Mar-2022,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2018-Dublin-1735673
190,RENAULT CAPTUR,POA,RENAULT,CAPTUR,Diesel,"160,004",Yellow,1.5,Manual,Hatchback,2014,Westmeath,1,4,Jan-2023,Jun-2024,http://www.cars.ie/used-cars/RENAULT-CAPTUR-2014-Westmeath-1735558
191,FORD FIESTA,"€12,950",FORD,FIESTA,Petrol,"42,952",Grey,1.0,Manual,Hatchback,2016,Kerry,2,4,Nov-2022,Jul-2024,http://www.cars.ie/used-cars/FORD-FIESTA-2016-Kerry-1735653
192,FORD FOCUS,"€5,350",FORD,FOCUS,Diesel,"226,117",Black,1.6,Manual,Hatchback,2011,Kerry,3,5,Oct-2022,Oct-2022,http://www.cars.ie/used-cars/FORD-FOCUS-2011-Kerry-1735652
193,VOLVO V40,"€11,995",VOLVO,V40,Diesel,"164,204",Black,1.6,Manual,Hatchback,2015,Dublin,1,5,Feb-2023,Jul-2023,http://www.cars.ie/used-cars/VOLVO-V40-2015-Dublin-1735627
194,FORD FOCUS,"€11,950",FORD,FOCUS,Diesel,"141,115",Silver,1.6,Manual,Hatchback,2015,Kerry,3,4,Jul-2023,Aug-2023,http://www.cars.ie/used-cars/FORD-FOCUS-2015-Kerry-1735651
195,VOLKSWAGEN PASSAT,"€26,900",VOLKSWAGEN,PASSAT,Diesel,"120,701",Grey,2.0,Manual,Saloon,2019,Dublin,1,4,Jan-2023,Dec-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2019-Dublin-1735606
196,MERCEDES-BENZ A CLASS,"€23,950",MERCEDES-BENZ,A,Diesel,"64,374",Grey,2.1,Automatic,Hatchback,2017,Galway,2,5,-,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-A-CLASS-2017-Galway-1735618
197,RENAULT MEGANE,"€14,500",RENAULT,MEGANE,Diesel,"98,052",White,1.5,Manual,Saloon,2018,Dublin,2,4,Jan-2023,Apr-2024,http://www.cars.ie/used-cars/RENAULT-MEGANE-2018-Dublin-1735633
198,SEAT TOLEDO,"€10,000",SEAT,TOLEDO,Diesel,"204,872",Silver,1.6,Manual,Hatchback,2015,Mayo,2,5,-,Jun-2023,http://www.cars.ie/used-cars/SEAT-TOLEDO-2015-Mayo-1735439
199,VAUXHALL VIVARO,POA,VAUXHALL,VIVARO,Diesel,"19,956",Black,1.5,Manual,Van,2020,Dublin,2,4,-,-,http://www.cars.ie/used-cars/VAUXHALL-VIVARO-2020-Dublin-1735638
200,AUDI A7,"€52,950",AUDI,A7,Diesel,"46,671",Grey,2.0,Automatic,Hatchback,2019,Galway,2,5,Jul-2023,Jun-2023,http://www.cars.ie/used-cars/AUDI-A7-2019-Galway-1735617
201,SKODA SUPERB,"€11,000",SKODA,SUPERB,Diesel,"139,208",Green,1.6,Manual,Hatchback,2013,Mayo,1,5,Jun-2022,Jan-2022,http://www.cars.ie/used-cars/SKODA-SUPERB-2013-Mayo-1735581
202,KIA CARENS,POA,KIA,CARENS,Diesel,"111,044",Black,1.7,Manual,MPV,2018,Dublin,2,5,-,-,http://www.cars.ie/used-cars/KIA-CARENS-2018-Dublin-1735469
203,HYUNDAI I40,"€11,500",HYUNDAI,I40,Diesel,"72,765",Silver,1.7,Manual,Saloon,2014,Dublin,3,4,Feb-2023,Dec-2024,http://www.cars.ie/used-cars/HYUNDAI-I40-2014-Dublin-1735597
204,RENAULT CLIO,"€14,400",RENAULT,CLIO,Petrol,"49,405",White,1.0,Manual,Hatchback,2019,Limerick,-,5,Dec-2022,Feb-2023,http://www.cars.ie/used-cars/RENAULT-CLIO-2019-Limerick-1735522
205,CITROEN C3,"€17,990",CITROEN,C3,Petrol,"63,685",Grey,1.2,Manual,Hatchback,2019,Limerick,-,4,Jan-2023,Mar-2023,http://www.cars.ie/used-cars/CITROEN-C3-2019-Limerick-1735521
206,SKODA FABIA,"€12,990",SKODA,FABIA,Petrol,"76,437",Grey,0.0,Manual,Hatchback,2019,Limerick,-,5,Feb-2023,Mar-2023,http://www.cars.ie/used-cars/SKODA-FABIA-2019-Limerick-1735520
207,CITROEN C3,"€17,500",CITROEN,C3,Petrol,"58,501",Grey,1.2,Manual,MPV,2019,Cork,2,4,Nov-2022,Sep-2023,http://www.cars.ie/used-cars/CITROEN-C3-2019-Cork-1735569
208,SKODA SUPERB,"€17,950",SKODA,SUPERB,Diesel,"77,000",Silver,1.6,Automatic,Hatchback,2016,Dublin,2,4,Dec-2022,Jan-2024,http://www.cars.ie/used-cars/SKODA-SUPERB-2016-Dublin-1735610
209,PEUGEOT 3008,"€26,950",PEUGEOT,3008,Diesel,"48,280",Black,1.5,Manual,Hatchback,2019,Galway,2,5,-,-,http://www.cars.ie/used-cars/PEUGEOT-3008-2019-Galway-1735616
210,PEUGEOT PARTNER,POA,PEUGEOT,PARTNER,Diesel,"120,235",White,1.6,Manual,Van,2017,Clare,1,-,-,-,http://www.cars.ie/used-cars/PEUGEOT-PARTNER-2017-Clare-1735572
211,BMW 4 SERIES,"€18,500",BMW,4,Diesel,"209,380",Blue,2.0,Automatic,Coupe,2016,Meath,3,2,Nov-2022,Mar-2024,http://www.cars.ie/used-cars/BMW-4-SERIES-2016-Meath-1735608
212,PEUGEOT PARTNER,POA,PEUGEOT,PARTNER,Diesel,"177,888",Silver,1.6,Manual,MPV,2013,Clare,1,5,-,-,http://www.cars.ie/used-cars/PEUGEOT-PARTNER-2013-Clare-1735571
213,HONDA CR-V,POA,HONDA,CR-V,Diesel,"186,004",Black,1.6,Automatic,SUV,2017,Mayo,2,4,-,-,http://www.cars.ie/used-cars/HONDA-CR-V-2017-Mayo-1735609
214,RENAULT FLUENCE,"€4,950",RENAULT,FLUENCE,Diesel,"155,004",Blue,1.5,Manual,Saloon,2011,Cork,2,4,Jan-2023,Jun-2023,http://www.cars.ie/used-cars/RENAULT-FLUENCE-2011-Cork-1735412
215,NISSAN QASHQAI +2,"€9,995",NISSAN,QASHQAI,Diesel,"166,760",Grey,1.6,Manual,Hatchback,2013,Clare,1,5,-,Nov-2024,http://www.cars.ie/used-cars/NISSAN-QASHQAI-+2-2013-Clare-1735583
216,PEUGEOT 3008,"€21,950",PEUGEOT,3008,Petrol,"61,155",Silver,1.4,Automatic,Hatchback,2018,Wexford,-,5,-,Jan-2024,http://www.cars.ie/used-cars/PEUGEOT-3008-2018-Wexford-1735631
217,AUDI A1,"€12,940",AUDI,A1,Diesel,"194,730",Silver,2.1,Automatic,Saloon,2013,Laois,2,4,Aug-2022,Nov-2023,http://www.cars.ie/used-cars/AUDI-A1-2013-Laois-1735554
218,MERCEDES-BENZ E CLASS,"€19,990",MERCEDES-BENZ,E,Diesel,"123,002",Red,2.0,Automatic,Saloon,2015,Louth,2,4,Feb-2023,May-2024,http://www.cars.ie/used-cars/MERCEDES-BENZ-E-CLASS-2015-Louth-1735662
219,AUDI A6,POA,AUDI,A6,Petrol,"101,234",White,1.0,Manual,Hatchback,2016,Westmeath,4,5,Jun-2023,Jun-2024,http://www.cars.ie/used-cars/AUDI-A6-2016-Westmeath-1735625
220,VOLKSWAGEN POLO,"€12,500",VOLKSWAGEN,POLO,Petrol,"89,901",-,2.0,Automatic,SUV,2016,Clare,-,5,-,Dec-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2016-Clare-1735637
221,MITSUBISHI OUTLANDER,"€23,950",MITSUBISHI,OUTLANDER,Diesel,"108,001",Grey,2.0,Manual,Estate,2017,Dublin,2,5,Aug-2022,Jul-2023,http://www.cars.ie/used-cars/MITSUBISHI-OUTLANDER-2017-Dublin-1735664
222,VOLKSWAGEN TIGUAN,"€35,950",VOLKSWAGEN,TIGUAN,Petrol,"45,062",Red,1.2,Automatic,Hatchback,2019,Kildare,1,5,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-TIGUAN-2019-Kildare-1735523
223,OPEL CROSSLAND X,"€19,950",OPEL,CROSSLAND,Diesel,"57,132",Black,1.5,Manual,Hatchback,2018,Monaghan,1,5,-,-,http://www.cars.ie/used-cars/OPEL-CROSSLAND-X-2018-Monaghan-1735620
224,OPEL GRANDLAND X,"€24,950",OPEL,GRANDLAND,Hybrid,"89,901",Grey,2.0,Automatic,SUV,2019,Monaghan,1,5,Dec-2022,Dec-2024,http://www.cars.ie/used-cars/OPEL-GRANDLAND-X-2019-Monaghan-1735458
225,MITSUBISHI OUTLANDER,"€23,950",MITSUBISHI,OUTLANDER,Diesel,"165,513",Black,2.0,Automatic,Hatchback,2017,Dublin,1,5,Nov-2022,Aug-2024,http://www.cars.ie/used-cars/MITSUBISHI-OUTLANDER-2017-Dublin-1735663
226,AUDI A5,POA,AUDI,A5,Diesel,"33,796",White,1.5,Manual,MPV,2018,Westmeath,1,5,-,-,http://www.cars.ie/used-cars/AUDI-A5-2018-Westmeath-1735561
227,PEUGEOT 3008,"€30,950",PEUGEOT,3008,Diesel,"19,999",Black,1.6,Manual,Hatchback,2019,Monaghan,1,5,Mar-2022,Jul-2025,http://www.cars.ie/used-cars/PEUGEOT-3008-2019-Monaghan-1735461
228,OPEL INSIGNIA,"€34,950",OPEL,INSIGNIA,Diesel,"78,001",White,1.6,Manual,MPV,2021,Monaghan,2,4,Nov-2022,Jan-2023,http://www.cars.ie/used-cars/OPEL-INSIGNIA-2021-Monaghan-1735459
229,OPEL MOKKA,"€15,950",OPEL,MOKKA,Diesel,"235,846",Grey,1.6,Manual,Estate,2017,Monaghan,1,5,Dec-2022,Aug-2023,http://www.cars.ie/used-cars/OPEL-MOKKA-2017-Monaghan-1735460
230,FORD MONDEO,POA,FORD,MONDEO,Diesel,"150,913",Black,2.3,Manual,Pickup,2013,Westmeath,1,-,-,Nov-2023,http://www.cars.ie/used-cars/FORD-MONDEO-2013-Westmeath-1735562
231,NISSAN NAVARA,"€19,950",NISSAN,NAVARA,Petrol,"158,440",Red,1.2,Manual,MPV,2018,Wexford,2,5,Jun-2022,Aug-2024,http://www.cars.ie/used-cars/NISSAN-NAVARA-2018-Wexford-1735630
232,NISSAN NOTE,"€7,750",NISSAN,NOTE,Diesel,"193,003",White,1.6,Manual,Estate,2014,Louth,2,5,Nov-2022,Nov-2024,http://www.cars.ie/used-cars/NISSAN-NOTE-2014-Louth-1735619
233,KIA CEED,"€12,950",KIA,CEED,Hybrid,"21,100",Bronze,1.8,Automatic,Saloon,2016,Cork,1,4,Sep-2022,Jan-2026,http://www.cars.ie/used-cars/KIA-CEED-2016-Cork-1735425
234,TOYOTA COROLLA,"€30,995",TOYOTA,COROLLA,Diesel,"89,502",Black,1.5,Automatic,MPV,2022,Galway,2,4,Aug-2023,Jul-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2022-Galway-1735757
235,PEUGEOT 3008,"€29,995",PEUGEOT,3008,Petrol,"13,501",Blue,1.0,Manual,Hatchback,2019,Galway,1,4,Dec-2022,Jul-2026,http://www.cars.ie/used-cars/PEUGEOT-3008-2019-Galway-1735756
236,TOYOTA AYGO X,"€19,495",TOYOTA,AYGO,Diesel,"87,003",Black,3.0,Manual,Pickup,2022,Galway,2,4,Jan-2023,-,http://www.cars.ie/used-cars/TOYOTA-AYGO-X-2022-Galway-1735700
237,TOYOTA HILUX,"€26,995",TOYOTA,HILUX,Diesel,"87,690",Grey,1.5,Manual,MPV,2016,Galway,2,4,Sep-2023,Apr-2023,http://www.cars.ie/used-cars/TOYOTA-HILUX-2016-Galway-1735699
238,NISSAN JUKE,"€15,495",NISSAN,JUKE,Diesel,"98,002",Silver,1.5,Manual,MPV,2017,Galway,2,5,Apr-2023,Jun-2024,http://www.cars.ie/used-cars/NISSAN-JUKE-2017-Galway-1735698
239,NISSAN QASHQAI,"€11,995",NISSAN,QASHQAI,Petrol,"101,002",Grey,1.3,Manual,Saloon,2014,Galway,4,4,Nov-2022,Nov-2023,http://www.cars.ie/used-cars/NISSAN-QASHQAI-2014-Galway-1735697
240,TOYOTA COROLLA,"€10,995",TOYOTA,COROLLA,Diesel,"119,003",Silver,2.0,Manual,SUV,2013,Galway,1,5,Aug-2022,Feb-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2013-Galway-1735696
241,TOYOTA RAV4,"€23,995",TOYOTA,RAV4,Diesel,"156,005",Black,1.6,Manual,Estate,2017,Galway,1,5,Nov-2022,Mar-2024,http://www.cars.ie/used-cars/TOYOTA-RAV4-2017-Galway-1735695
242,HONDA CR-V,"€18,995",HONDA,CR-V,Hybrid,"11,401",Grey,1.8,Automatic,SUV,2016,Galway,1,4,Oct-2022,Oct-2024,http://www.cars.ie/used-cars/HONDA-CR-V-2016-Galway-1735694
243,TOYOTA C-HR,"€31,495",TOYOTA,C-HR,Hybrid,"26,900",-,1.8,Automatic,SUV,2020,Galway,1,4,Jun-2022,Jul-2024,http://www.cars.ie/used-cars/TOYOTA-C-HR-2020-Galway-1735753
244,TOYOTA C-HR,"€30,995",TOYOTA,C-HR,Diesel,"80,002",Silver,1.6,Manual,Van,2020,Galway,1,2,Jan-2022,-,http://www.cars.ie/used-cars/TOYOTA-C-HR-2020-Galway-1735751
245,TOYOTA PROACE,"€18,995",TOYOTA,PROACE,Hybrid,"100,722",Silver,1.8,Automatic,Hatchback,2018,Galway,1,4,Oct-2022,Jul-2023,http://www.cars.ie/used-cars/TOYOTA-PROACE-2018-Galway-1735692
246,TOYOTA COROLLA,"€20,950",TOYOTA,COROLLA,Hybrid,"106,588",Black,1.8,Automatic,Hatchback,2019,Dublin,1,4,Oct-2022,Jul-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2019-Dublin-1735691
247,TOYOTA COROLLA,"€20,950",TOYOTA,COROLLA,Hybrid,"15,501",Blue,0.0,Automatic,Hatchback,2019,Dublin,-,-,Mar-2023,Jul-2025,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2019-Dublin-1735690
248,TOYOTA COROLLA,"€27,950",TOYOTA,COROLLA,Diesel,0,Grey,2.4,Manual,Pickup,2021,Dublin,1,4,Oct-2022,-,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2021-Dublin-1735689
249,TOYOTA HILUX,"€42,099",TOYOTA,HILUX,Diesel,"77,000",White,1.6,Manual,Saloon,2022,Kildare,2,4,Jun-2023,Jul-2022,http://www.cars.ie/used-cars/TOYOTA-HILUX-2022-Kildare-1735539
250,VOLKSWAGEN PASSAT,"€25,950",VOLKSWAGEN,PASSAT,Diesel,"181,051",Grey,1.6,Manual,Hatchback,2018,Galway,2,4,Dec-2022,Jul-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2018-Galway-1735456
251,SKODA SUPERB,POA,SKODA,SUPERB,Petrol,"58,609",White,1.0,Manual,Hatchback,2017,Meath,2,4,Nov-2022,Jan-2024,http://www.cars.ie/used-cars/SKODA-SUPERB-2017-Meath-1735468
252,NISSAN MICRA,"€14,950",NISSAN,MICRA,Petrol,"119,152",Blue,1.8,Automatic,MPV,2018,Meath,-,5,-,Nov-2024,http://www.cars.ie/used-cars/NISSAN-MICRA-2018-Meath-1735466
253,TOYOTA PRIUS,"€14,750",TOYOTA,PRIUS,Diesel,"91,111",White,1.7,Manual,Saloon,2013,Dublin,3,4,-,-,http://www.cars.ie/used-cars/TOYOTA-PRIUS-2013-Dublin-1735688
254,HYUNDAI I40,"€13,950",HYUNDAI,I40,Petrol,"14,363",White,1.5,Automatic,Hatchback,2016,Meath,1,4,Nov-2022,Oct-2025,http://www.cars.ie/used-cars/HYUNDAI-I40-2016-Meath-1735467
255,TOYOTA YARIS,"€29,888",TOYOTA,YARIS,Diesel,"171,623",Grey,1.5,Manual,Hatchback,2021,Kildare,2,5,Nov-2022,Mar-2023,http://www.cars.ie/used-cars/TOYOTA-YARIS-2021-Kildare-1735626
256,FORD FOCUS,"€13,900",FORD,FOCUS,Petrol,"64,475",-,1.2,Automatic,Hatchback,2017,Dublin,1,5,-,Nov-2024,http://www.cars.ie/used-cars/FORD-FOCUS-2017-Dublin-1735402
257,VOLKSWAGEN POLO,"€10,900",VOLKSWAGEN,POLO,Diesel,"85,321",White,1.4,Manual,Estate,2013,Dublin,1,5,Nov-2022,Aug-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2013-Dublin-1735400
258,SKODA FABIA,"€10,900",SKODA,FABIA,Petrol,"94,790",Silver,1.2,Manual,Hatchback,2016,Dublin,1,5,-,-,http://www.cars.ie/used-cars/SKODA-FABIA-2016-Dublin-1735404
259,SUZUKI SWIFT,POA,SUZUKI,SWIFT,Diesel,"105,191",Black,2.0,Manual,Saloon,2016,Louth,3,4,Nov-2022,Jan-2025,http://www.cars.ie/used-cars/SUZUKI-SWIFT-2016-Louth-1735457
260,AUDI A4,"€21,750",AUDI,A4,Diesel,"141,654",Grey,2.0,Automatic,MPV,2017,Dublin,2,5,Nov-2022,Jul-2024,http://www.cars.ie/used-cars/AUDI-A4-2017-Dublin-1735405
261,FORD GALAXY,"€25,950",FORD,GALAXY,Diesel,"168,004",Black,2.0,Manual,Saloon,2018,Dublin,2,4,Dec-2022,May-2024,http://www.cars.ie/used-cars/FORD-GALAXY-2018-Dublin-1735406
262,AUDI A3,"€14,950",AUDI,A3,Diesel,"176,268",Blue,2.0,Automatic,Saloon,2014,Dublin,2,4,-,Nov-2024,http://www.cars.ie/used-cars/AUDI-A3-2014-Dublin-1735407
263,BMW 5 SERIES,"€24,900",BMW,5,Diesel,"77,691",White,1.5,Manual,SUV,2017,Dublin,2,5,Dec-2022,Feb-2025,http://www.cars.ie/used-cars/BMW-5-SERIES-2017-Dublin-1735424
