,Name,Price,Make,Model,Engine Size,Fuel Type,Odometer,Transmission,Body Type,Manufacturing Year,County,Doors,Color,Owners,Tax Expiry,NCT Expiry,URL
721,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,2.0,Diesel,"107,589",Manual,Saloon,2015,Galway,4,Grey,2,Jul-2023,Jan-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2015-Galway-1735867
722,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,1.0,Petrol,"22,922",Manual,Hatchback,2019,Galway,5,White,1,Oct-2022,May-2026,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2019-Galway-1735866
723,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,2.0,Diesel,"89,864",Manual,Saloon,2022,Galway,4,Grey,1,Aug-2022,Aug-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2022-Galway-1735865
724,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,2.0,Diesel,"39,030",Manual,SUV,2018,Galway,5,Gold,1,Dec-2019,Jan-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2018-Galway-1735864
725,VOLKSWAGEN TIGUAN,"€34,000",VOLKSWAGEN,TIGUAN,1.6,Diesel,"86,734",Manual,SUV,2018,Galway,4,Black,1,Jul-2023,Jan-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-TIGUAN-2018-Galway-1735863
726,SKODA KAROQ,"€30,950",SKODA,KAROQ,1.6,Diesel,"8,249",Manual,SUV,2020,Clare,4,Grey,1,Sep-2022,Aug-2024,http://www.cars.ie/used-cars/SKODA-KAROQ-2020-Clare-1735881
727,SKODA KAROQ,"€33,500",SKODA,KAROQ,2.0,Diesel,"30,091",Manual,Saloon,2020,Clare,4,White,1,Sep-2022,Jan-2026,http://www.cars.ie/used-cars/SKODA-KAROQ-2020-Clare-1735880
728,SKODA OCTAVIA,"€33,000",SKODA,OCTAVIA,2.0,Diesel,"199,737",Manual,Saloon,2022,Clare,4,Black,-,Jan-2023,Jan-2023,http://www.cars.ie/used-cars/SKODA-OCTAVIA-2022-Clare-1735879
729,VOLKSWAGEN JETTA,"€16,950",VOLKSWAGEN,JETTA,2.0,Diesel,"219,950",Automatic,Estate,2017,Clare,4,Beige,-,Jan-2023,Jun-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-JETTA-2017-Clare-1735878
730,SKODA SUPERB,"€14,500",SKODA,SUPERB,1.2,Petrol,"65,896",Manual,Hatchback,2015,Clare,4,Silver,-,Jan-2023,May-2023,http://www.cars.ie/used-cars/SKODA-SUPERB-2015-Clare-1736078
731,FORD FIESTA,"€10,950",FORD,FIESTA,1.3,Petrol,"40,542",Manual,Hatchback,2013,Wicklow,4,Silver,-,Mar-2023,Nov-2022,http://www.cars.ie/used-cars/FORD-FIESTA-2013-Wicklow-1735877
732,FORD FIESTA,"€13,950",FORD,FIESTA,1.6,Diesel,"180,005",Manual,Van,2016,Wicklow,4,Silver,2,Apr-2022,-,http://www.cars.ie/used-cars/FORD-FIESTA-2016-Wicklow-1735876
733,VOLKSWAGEN CADDY,POA,VOLKSWAGEN,CADDY,1.0,Petrol,200,Manual,Hatchback,2015,Galway,4,-,-,Sep-2022,Mar-2026,http://www.cars.ie/used-cars/VOLKSWAGEN-CADDY-2015-Galway-1735882
734,NISSAN MICRA,"€21,750",NISSAN,MICRA,2.0,Diesel,"319,028",Manual,Van,2022,Waterford,4,Black,2,Apr-2023,Dec-2023,http://www.cars.ie/used-cars/NISSAN-MICRA-2022-Waterford-1735826
735,HYUNDAI IX35,"€8,949",HYUNDAI,IX35,1.4,Petrol,"230,005",Manual,Hatchback,2013,Meath,5,Black,2,Dec-2022,Jan-2022,http://www.cars.ie/used-cars/HYUNDAI-IX35-2013-Meath-1735797
736,OPEL ASTRA,€800,OPEL,ASTRA,1.6,Diesel,"177,027",Manual,Hatchback,2005,Meath,5,Silver,2,Oct-2022,May-2023,http://www.cars.ie/used-cars/OPEL-ASTRA-2005-Meath-1735798
737,FORD FOCUS,"€5,449",FORD,FOCUS,1.6,Diesel,"129,491",Manual,Hatchback,2011,Meath,5,Blue,1,-,Nov-2024,http://www.cars.ie/used-cars/FORD-FOCUS-2011-Meath-1735795
738,RENAULT KOLEOS,"€24,949",RENAULT,KOLEOS,1.6,Diesel,"146,004",Manual,Hatchback,2017,Meath,5,Black,2,Dec-2022,Jul-2023,http://www.cars.ie/used-cars/RENAULT-KOLEOS-2017-Meath-1735794
739,FORD FOCUS,"€5,949",FORD,FOCUS,3.0,Diesel,"154,770",Other,Saloon,2011,Meath,4,Grey,1,Feb-2023,Sep-2023,http://www.cars.ie/used-cars/FORD-FOCUS-2011-Meath-1735796
740,BMW 5 SERIES,"€34,949",BMW,5,1.6,Diesel,"168,121",Manual,Estate,2017,Meath,5,Silver,2,Sep-2022,Jun-2023,http://www.cars.ie/used-cars/BMW-5-SERIES-2017-Meath-1735840
741,VOLKSWAGEN GOLF,POA,VOLKSWAGEN,GOLF,1.0,Petrol,"34,229",Manual,Saloon,2013,Cork,4,Grey,1,Jan-2023,Jan-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2013-Cork-1735814
