,Name,Price,Make,Model,Engine Size,Fuel Type,Odometer,Transmission,Body Type,Manufacturing Year,County,Doors,Color,Owners,Tax Expiry,NCT Expiry,URL
804,FORD TRANSIT,"€20,500",FORD,TRANSIT,2.2,Diesel,"209,346",Manual,Van,2018,Dublin,3,White,1,-,Jan-2023,http://www.cars.ie/used-cars/FORD-TRANSIT-2018-Dublin-1735711
805,FORD TRANSIT,POA,FORD,TRANSIT,2.8,Diesel,"117,079",Automatic,SUV,2015,Dublin,4,Red,1,Feb-2022,Mar-2022,http://www.cars.ie/used-cars/FORD-TRANSIT-2015-Dublin-1735516
806,TOYOTA LANDCRUISER,"€53,895",TOYOTA,LANDCRUISER,1.8,Petrol,"118,288",Automatic,MPV,2017,Mayo,5,Brown,1,-,-,http://www.cars.ie/used-cars/TOYOTA-LANDCRUISER-2017-Mayo-1735763
807,TOYOTA PRIUS,POA,TOYOTA,PRIUS,1.8,Petrol,"126,600",Automatic,Hatchback,2016,Dublin,5,Silver,1,-,-,http://www.cars.ie/used-cars/TOYOTA-PRIUS-2016-Dublin-1735771
808,TOYOTA PRIUS,POA,TOYOTA,PRIUS,1.6,Diesel,"118,995",Manual,MPV,2017,Dublin,4,Grey,2,Feb-2023,Feb-2024,http://www.cars.ie/used-cars/TOYOTA-PRIUS-2017-Dublin-1735769
809,PEUGEOT 5008,"€11,950",PEUGEOT,5008,2.2,Diesel,"210,999",Manual,Van,2014,Kildare,3,White,1,Dec-2022,-,http://www.cars.ie/used-cars/PEUGEOT-5008-2014-Kildare-1735501
810,FORD TRANSIT,"€4,877",FORD,TRANSIT,1.5,Petrol,0,Automatic,Saloon,2013,Dublin,4,-,1,Dec-2022,Jan-2026,http://www.cars.ie/used-cars/FORD-TRANSIT-2013-Dublin-1735491
811,BMW 2 SERIES,"€44,995",BMW,2,2.2,Diesel,"193,291",Manual,Van,2022,Westmeath,3,Yellow,1,-,Mar-2023,http://www.cars.ie/used-cars/BMW-2-SERIES-2022-Westmeath-1735680
812,FORD TRANSIT,POA,FORD,TRANSIT,2.3,Diesel,"172,199",Manual,Van,2011,Dublin,5,White,1,-,-,http://www.cars.ie/used-cars/FORD-TRANSIT-2011-Dublin-1735515
813,MITSUBISHI OUTLANDER,POA,MITSUBISHI,OUTLANDER,1.5,Diesel,"65,090",Manual,Van,2017,Longford,3,White,2,May-2023,Sep-2022,http://www.cars.ie/used-cars/MITSUBISHI-OUTLANDER-2017-Longford-1735712
814,FORD TRANSIT,"€12,998",FORD,TRANSIT,1.6,Diesel,"113,124",Automatic,MPV,2018,Laois,4,White,2,Jan-2023,Apr-2024,http://www.cars.ie/used-cars/FORD-TRANSIT-CONNECT-2018-Laois-1735710
815,PEUGEOT 5008,POA,PEUGEOT,5008,1.6,Petrol,"88,659",Automatic,SUV,2018,Wexford,5,Grey,1,-,-,http://www.cars.ie/used-cars/PEUGEOT-5008-2018-Wexford-1735647
816,MERCEDES-BENZ GL CLASS,POA,MERCEDES-BENZ,GL,1.6,Diesel,"108,003",Automatic,Hatchback,2015,Dublin,5,Black,1,Oct-2022,Jan-2024,http://www.cars.ie/used-cars/MERCEDES-BENZ-GL-CLASS-2015-Dublin-1735675
817,VOLKSWAGEN GOLF,"€13,995",VOLKSWAGEN,GOLF,1.6,Diesel,"272,873",Automatic,MPV,2015,Galway,5,Blue,6,-,Feb-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-SV-2015-Galway-1735754
818,CITROEN C4,POA,CITROEN,C4,3.0,Diesel,"313,152",Automatic,Estate,2008,Kildare,5,Black,12,Dec-2022,Aug-2023,http://www.cars.ie/used-cars/CITROEN-C4-PICASSO-2008-Kildare-1735784
819,AUDI Q7,"€11,450",AUDI,Q7,1.0,Petrol,"67,290",Manual,Hatchback,2008,Dublin,5,White,2,Nov-2022,Jun-2023,http://www.cars.ie/used-cars/AUDI-Q7-2008-Dublin-1735557
820,TOYOTA AYGO,"€9,650",TOYOTA,AYGO,1.5,Petrol,"6,999",Automatic,SUV,2015,Kildare,5,White,1,-,-,http://www.cars.ie/used-cars/TOYOTA-AYGO-2015-Kildare-1735729
821,LAND ROVER RANGE ROVER EVOQUE,"€65,945",LAND,ROVER,1.5,Petrol,"23,998",Automatic,SUV,2021,Limerick,5,Silver,1,-,-,http://www.cars.ie/used-cars/LAND-ROVER-RANGE-ROVER-EVOQUE-2021-Limerick-1735614
822,LAND ROVER DISCOVERY SPORT,"€74,950",LAND,ROVER,1.6,Diesel,0,Manual,Hatchback,2021,Limerick,5,White,2,Oct-2022,Apr-2023,http://www.cars.ie/used-cars/LAND-ROVER-DISCOVERY-SPORT-2021-Limerick-1735615
823,VOLKSWAGEN GOLF,"€26,950",VOLKSWAGEN,GOLF,2.0,Diesel,0,Manual,Coupe,2019,Wicklow,-,Silver,1,Dec-2022,Sep-2022,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2019-Wicklow-1735728
824,VOLKSWAGEN CC,POA,VOLKSWAGEN,CC,1.0,Petrol,10,Manual,Hatchback,2016,Wicklow,5,Blue,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-CC-2016-Wicklow-1735726
825,FORD FOCUS,"€31,450",FORD,FOCUS,2.0,Diesel,"90,999",Automatic,SUV,2023,Dublin,4,Black,1,Jun-2023,Jan-2022,http://www.cars.ie/used-cars/FORD-FOCUS-2023-Dublin-1735725
826,BMW X3,"€49,995",BMW,X3,1.5,Diesel,0,Manual,Hatchback,2018,Galway,2,Grey,2,Nov-2022,Mar-2024,http://www.cars.ie/used-cars/BMW-X3-2018-Galway-1735778
827,MINI HATCH,"€16,995",MINI,HATCH,2.0,Diesel,"167,970",Automatic,Saloon,2016,Westmeath,4,Silver,3,Aug-2022,Feb-2024,http://www.cars.ie/used-cars/MINI-HATCH-2016-Westmeath-1735724
828,BMW 5 SERIES,"€24,995",BMW,5,1.6,Diesel,"81,886",Automatic,Saloon,2016,Galway,4,Red,2,Oct-2022,Feb-2023,http://www.cars.ie/used-cars/BMW-5-SERIES-2016-Galway-1735777
829,AUDI A3,"€21,950",AUDI,A3,0.0,Electric,"27,199",Automatic,Hatchback,2017,Limerick,5,Blue,1,-,-,http://www.cars.ie/used-cars/AUDI-A3-2017-Limerick-1735776
830,HYUNDAI IONIQ,"€32,895",HYUNDAI,IONIQ,0.0,Electric,"37,860",Automatic,Hatchback,2020,Dublin,5,Grey,1,-,-,http://www.cars.ie/used-cars/HYUNDAI-IONIQ-2020-Dublin-1735774
831,BMW I3,"€33,895",BMW,I3,1.2,Petrol,"41,999",Automatic,Hatchback,2020,Dublin,5,Red,1,Sep-2023,May-2024,http://www.cars.ie/used-cars/BMW-I3-2020-Dublin-1735775
832,VOLKSWAGEN POLO,"€11,950",VOLKSWAGEN,POLO,2.0,Diesel,"91,599",Manual,Saloon,2014,Dublin,4,Black,3,Feb-2023,May-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2014-Dublin-1735773
833,AUDI A4,"€22,875",AUDI,A4,2.2,Diesel,"149,455",Manual,SUV,2016,Dublin,5,Blue,2,Oct-2022,Jan-2024,http://www.cars.ie/used-cars/AUDI-A4-2016-Dublin-1735723
834,MAZDA CX-5,POA,MAZDA,CX-5,2.0,Diesel,"146,518",Manual,Estate,2015,Wexford,4,Red,5,Mar-2023,Sep-2024,http://www.cars.ie/used-cars/MAZDA-CX-5-2015-Wexford-1735669
835,BMW 1 SERIES,"€12,950",BMW,1,1.4,Petrol,"61,692",Automatic,Hatchback,2013,Dublin,5,Black,1,-,-,http://www.cars.ie/used-cars/BMW-1-SERIES-2013-Dublin-1735624
836,AUDI A3,"€17,890",AUDI,A3,1.5,Petrol,"73,061",Automatic,Hatchback,2015,Dublin,5,White,1,-,-,http://www.cars.ie/used-cars/AUDI-A3-2015-Dublin-1735772
837,HONDA JAZZ,"€12,490",HONDA,JAZZ,1.6,Petrol,"62,999",Automatic,Hatchback,2015,Dublin,5,White,1,-,-,http://www.cars.ie/used-cars/HONDA-JAZZ-2015-Dublin-1735770
838,BMW 1 SERIES,POA,BMW,1,1.2,Petrol,"61,639",Manual,Hatchback,2016,Dublin,5,White,2,Jan-2023,Jun-2024,http://www.cars.ie/used-cars/BMW-1-SERIES-2016-Dublin-1735767
839,NISSAN NOTE,"€11,995",NISSAN,NOTE,1.6,Diesel,"69,993",Manual,Hatchback,2016,Dublin,5,White,1,Feb-2023,Jan-2025,http://www.cars.ie/used-cars/NISSAN-NOTE-2016-Dublin-1735720
840,VOLKSWAGEN GOLF,"€22,900",VOLKSWAGEN,GOLF,1.6,Diesel,"95,234",Manual,SUV,2021,Kilkenny,4,Blue,1,Dec-2021,Feb-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2021-Kilkenny-1735718
841,NISSAN X-TRAIL,"€35,900",NISSAN,X-TRAIL,1.7,Diesel,"50,384",Manual,SUV,2019,Cork,-,Grey,1,Dec-2022,Nov-2023,http://www.cars.ie/used-cars/NISSAN-X-TRAIL-2019-Cork-1735717
842,HYUNDAI TUCSON,"€20,900",HYUNDAI,TUCSON,1.5,Petrol,"60,086",Automatic,Hatchback,2017,Cork,5,Black,1,-,-,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2017-Cork-1735716
843,TOYOTA AQUA,"€10,990",TOYOTA,AQUA,1.6,Diesel,"144,899",Manual,Hatchback,2015,Cork,3,Red,2,Feb-2023,Aug-2022,http://www.cars.ie/used-cars/TOYOTA-AQUA-2015-Cork-1735765
844,KIA CEED,"€14,995",KIA,CEED,2.0,Diesel,"90,150",Automatic,Saloon,2016,Wexford,4,Grey,-,Jul-2023,Feb-2022,http://www.cars.ie/used-cars/KIA-CEED-2016-Wexford-1735623
845,BMW 5 SERIES,"€23,950",BMW,5,1.0,Petrol,0,Manual,Hatchback,2016,Dublin,5,Black,-,-,-,http://www.cars.ie/used-cars/BMW-5-SERIES-2016-Dublin-1735764
846,SEAT IBIZA,"€28,915",SEAT,IBIZA,1.0,Petrol,"60,196",Manual,Hatchback,2023,Wexford,5,White,2,Jan-2023,Jul-2023,http://www.cars.ie/used-cars/SEAT-IBIZA-2023-Wexford-1735582
847,SEAT IBIZA,"€13,950",SEAT,IBIZA,1.0,Petrol,"73,027",Manual,Hatchback,2017,Dublin,4,Blue,2,Feb-2023,Mar-2023,http://www.cars.ie/used-cars/SEAT-IBIZA-2017-Dublin-1735621
848,SKODA FABIA,POA,SKODA,FABIA,2.0,Diesel,"95,999",Automatic,Saloon,2019,Longford,4,Grey,1,Oct-2022,May-2023,http://www.cars.ie/used-cars/SKODA-FABIA-2019-Longford-1735715
849,AUDI A4,POA,AUDI,A4,1.6,Diesel,"93,849",Manual,Saloon,2019,Longford,4,Red,1,Oct-2022,Jun-2023,http://www.cars.ie/used-cars/AUDI-A4-2019-Longford-1735762
850,SKODA OCTAVIA,POA,SKODA,OCTAVIA,1.0,Petrol,"73,869",Manual,MPV,2019,Longford,4,Grey,1,Mar-2023,Jun-2023,http://www.cars.ie/used-cars/SKODA-OCTAVIA-2019-Longford-1735714
851,TOYOTA YARIS,"€15,900",TOYOTA,YARIS,1.6,Diesel,"97,000",Automatic,Hatchback,2019,Longford,5,Black,1,Aug-2022,Jun-2023,http://www.cars.ie/used-cars/TOYOTA-YARIS-2019-Longford-1735713
852,VOLKSWAGEN GOLF,"€23,450",VOLKSWAGEN,GOLF,1.2,Petrol,0,Automatic,SUV,2019,Longford,5,White,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-GOLF-2019-Longford-1735761
853,OPEL GRANDLAND X,POA,OPEL,GRANDLAND,1.0,Petrol,0,Manual,Hatchback,2023,Dublin,5,Red,-,-,-,http://www.cars.ie/used-cars/OPEL-GRANDLAND-X-2023-Dublin-1735552
854,VOLKSWAGEN POLO,POA,VOLKSWAGEN,POLO,2.0,Diesel,0,Manual,SUV,2023,Longford,5,Grey,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2023-Longford-1735646
855,VOLKSWAGEN TIGUAN ALLSPACE,"€49,215",VOLKSWAGEN,TIGUAN,2.0,Diesel,0,Manual,SUV,2023,Longford,5,Grey,-,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-TIGUAN-ALLSPACE-2023-Longford-1735645
856,VOLKSWAGEN T-ROC,"€37,075",VOLKSWAGEN,T-ROC,1.2,Petrol,"61,321",Manual,SUV,2023,Longford,5,Grey,3,Dec-2022,Feb-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-T-ROC-2023-Longford-1735644
857,NISSAN JUKE,"€18,495",NISSAN,JUKE,0.0,Electric,"33,197",Automatic,MPV,2018,Dublin,5,White,2,Mar-2023,Jul-2025,http://www.cars.ie/used-cars/NISSAN-JUKE-2018-Dublin-1735648
858,HYUNDAI KONA,"€38,995",HYUNDAI,KONA,0.0,Electric,"28,004",Automatic,Hatchback,2021,Dublin,4,Grey,2,Feb-2023,Feb-2025,http://www.cars.ie/used-cars/HYUNDAI-KONA-2021-Dublin-1735649
859,PEUGEOT 208,"€32,995",PEUGEOT,208,1.8,Petrol,"38,750",Automatic,Hatchback,2021,Dublin,5,Black,2,-,-,http://www.cars.ie/used-cars/PEUGEOT-208-2021-Dublin-1735650
860,TOYOTA C-HR,"€25,495",TOYOTA,C-HR,1.0,Petrol,0,Manual,SUV,2017,Limerick,5,Blue,-,-,-,http://www.cars.ie/used-cars/TOYOTA-C-HR-2017-Limerick-1735570
861,VOLKSWAGEN TAIGO,POA,VOLKSWAGEN,TAIGO,1.4,Petrol,"30,898",Manual,Hatchback,2023,Westmeath,5,White,3,Aug-2022,Feb-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-TAIGO-2023-Westmeath-1735628
862,KIA CEED,POA,KIA,CEED,1.0,Petrol,"4,999",Manual,SUV,2019,Kildare,5,Grey,1,Nov-2022,Jan-2026,http://www.cars.ie/used-cars/KIA-CEED-2019-Kildare-1735661
863,SKODA KAMIQ,"€27,950",SKODA,KAMIQ,1.0,Petrol,"4,999",Manual,Estate,2022,Kerry,5,White,1,Nov-2022,Jan-2026,http://www.cars.ie/used-cars/SKODA-KAMIQ-2022-Kerry-1735709
864,SKODA FABIA,"€22,950",SKODA,FABIA,1.0,Petrol,"3,000",Manual,SUV,2022,Kerry,5,Grey,1,Nov-2022,Jan-2026,http://www.cars.ie/used-cars/SKODA-FABIA-2022-Kerry-1735708
865,SKODA KAMIQ,"€27,500",SKODA,KAMIQ,1.0,Petrol,"3,800",Manual,SUV,2022,Kerry,5,Grey,1,Nov-2022,Jan-2026,http://www.cars.ie/used-cars/SKODA-KAMIQ-2022-Kerry-1735707
866,SKODA KAMIQ,"€26,950",SKODA,KAMIQ,2.0,Diesel,"62,000",Manual,SUV,2022,Kerry,5,Black,1,Oct-2022,Apr-2023,http://www.cars.ie/used-cars/SKODA-KAMIQ-2022-Kerry-1735706
867,SEAT TARRACO,"€37,950",SEAT,TARRACO,1.0,Petrol,"65,333",Manual,Hatchback,2019,Cork,4,Grey,1,Dec-2022,Apr-2024,http://www.cars.ie/used-cars/SEAT-TARRACO-2019-Cork-1735705
868,SKODA FABIA,"€14,995",SKODA,FABIA,1.5,Diesel,"59,850",Automatic,SUV,2018,Dublin,5,Black,2,Jun-2023,Jul-2023,http://www.cars.ie/used-cars/SKODA-FABIA-2018-Dublin-1735702
869,RENAULT KADJAR,"€27,495",RENAULT,KADJAR,1.2,Petrol,"24,200",Manual,Hatchback,2019,Dublin,5,Grey,3,Dec-2022,Jan-2023,http://www.cars.ie/used-cars/RENAULT-KADJAR-2019-Dublin-1735758
870,NISSAN PULSAR,"€15,995",NISSAN,PULSAR,2.0,Diesel,"67,999",Automatic,SUV,2017,Dublin,5,Silver,1,Mar-2022,Apr-2024,http://www.cars.ie/used-cars/NISSAN-PULSAR-2017-Dublin-1735701
871,LAND ROVER RANGE ROVER VELAR,"€64,950",LAND,ROVER,2.0,Diesel,0,Manual,SUV,2018,Limerick,-,Beige,4,Nov-2022,Dec-2023,http://www.cars.ie/used-cars/LAND-ROVER-RANGE-ROVER-VELAR-2018-Limerick-1735612
872,VOLKSWAGEN TIGUAN,POA,VOLKSWAGEN,TIGUAN,2.0,Diesel,0,Automatic,SUV,2013,Wicklow,4,Grey,1,Oct-2022,Mar-2026,http://www.cars.ie/used-cars/VOLKSWAGEN-TIGUAN-2013-Wicklow-1735529
873,BMW X3,POA,BMW,X3,3.0,Diesel,"41,999",Automatic,Saloon,2022,Westmeath,4,Black,-,Jun-2023,Jun-2025,http://www.cars.ie/used-cars/BMW-X3-2022-Westmeath-1735679
874,MERCEDES-BENZ S CLASS,"€119,950",MERCEDES-BENZ,S,2.2,Diesel,"85,657",Manual,SUV,2021,Limerick,5,Grey,1,Dec-2022,May-2022,http://www.cars.ie/used-cars/MERCEDES-BENZ-S-CLASS-2021-Limerick-1735678
875,MAZDA CX-5,"€19,900",MAZDA,CX-5,0.0,Electric,0,Automatic,Saloon,2016,Cork,-,Blue,-,-,-,http://www.cars.ie/used-cars/MAZDA-CX-5-2016-Cork-1735528
876,MERCEDES-BENZ EQE,"€101,900",MERCEDES-BENZ,EQE,1.7,Diesel,"83,153",Manual,SUV,2023,Galway,-,White,2,Jan-2023,Jan-2024,http://www.cars.ie/used-cars/MERCEDES-BENZ-EQE-2023-Galway-1735674
877,HYUNDAI TUCSON,"€22,990",HYUNDAI,TUCSON,1.6,Diesel,"44,999",Automatic,Saloon,2018,Cork,4,Black,1,Oct-2023,Jul-2023,http://www.cars.ie/used-cars/HYUNDAI-TUCSON-2018-Cork-1735526
878,MERCEDES-BENZ C CLASS,"€29,950",MERCEDES-BENZ,C,2.3,Diesel,"127,386",Manual,Van,2017,Dublin,5,White,1,Aug-2022,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-C-CLASS-2017-Dublin-1735553
879,OPEL MOVANO,POA,OPEL,MOVANO,1.0,Petrol,"62,277",Manual,Hatchback,2018,Wexford,5,Black,3,Dec-2022,Feb-2024,http://www.cars.ie/used-cars/OPEL-MOVANO-2018-Wexford-1735437
880,NISSAN MICRA,"€15,495",NISSAN,MICRA,2.0,Diesel,"257,494",Manual,Saloon,2018,Dublin,4,Black,3,Sep-2021,Aug-2023,http://www.cars.ie/used-cars/NISSAN-MICRA-2018-Dublin-1735524
881,VOLKSWAGEN PASSAT,"€6,490",VOLKSWAGEN,PASSAT,1.4,Diesel,"54,718",Manual,Van,2011,Louth,4,White,1,May-2023,-,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2011-Louth-1735512
882,TOYOTA AURIS,"€17,750",TOYOTA,AURIS,2.0,Diesel,"207,373",Automatic,Saloon,2018,Dublin,4,Black,4,-,-,http://www.cars.ie/used-cars/TOYOTA-AURIS-2018-Dublin-1735750
883,BMW 5 SERIES,"€11,950",BMW,5,1.6,Diesel,"270,269",Manual,Hatchback,2011,Meath,5,Red,3,Nov-2022,Feb-2024,http://www.cars.ie/used-cars/BMW-5-SERIES-2011-Meath-1735782
884,VAUXHALL ASTRA,"€9,950",VAUXHALL,ASTRA,1.0,Petrol,"7,545",Manual,Hatchback,2016,Dublin,5,White,2,Dec-2022,Jul-2025,http://www.cars.ie/used-cars/VAUXHALL-ASTRA-2016-Dublin-1735556
885,VOLKSWAGEN POLO,"€22,500",VOLKSWAGEN,POLO,2.5,Petrol,"151,320",Automatic,Saloon,2021,Limerick,-,Silver,1,Dec-2022,Oct-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-POLO-2021-Limerick-1735613
886,LEXUS IS 300 H,"€23,995",LEXUS,IS,1.2,Petrol,"80,594",Manual,Hatchback,2015,Westmeath,4,Grey,1,Jan-2023,Jul-2023,http://www.cars.ie/used-cars/LEXUS-IS-300-H-2015-Westmeath-1735786
887,TOYOTA COROLLA,POA,TOYOTA,COROLLA,1.3,Petrol,"232,297",Manual,Hatchback,2019,Longford,3,Black,2,-,-,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2019-Longford-1735746
888,TOYOTA YARIS,"€8,450",TOYOTA,YARIS,1.0,Petrol,"69,998",Manual,Hatchback,2012,Longford,4,Grey,1,Dec-2022,Jan-2023,http://www.cars.ie/used-cars/TOYOTA-YARIS-2012-Longford-1735745
889,FORD FIESTA,"€12,500",FORD,FIESTA,2.2,Diesel,"128,491",Manual,Saloon,2017,Cork,4,Blue,3,-,Jul-2023,http://www.cars.ie/used-cars/FORD-FIESTA-2017-Cork-1735744
890,MAZDA MAZDA3,POA,MAZDA,MAZDA3,1.6,Diesel,"156,933",Manual,Hatchback,2015,Kildare,3,Black,2,-,-,http://www.cars.ie/used-cars/MAZDA-MAZDA3-2015-Kildare-1735743
891,AUDI A3,POA,AUDI,A3,1.6,Diesel,"251,107",Manual,Saloon,2014,Kildare,4,Brown,5,-,-,http://www.cars.ie/used-cars/AUDI-A3-2014-Kildare-1735742
892,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,2.0,Diesel,"135,733",Manual,Saloon,2014,Kildare,4,Grey,3,-,-,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2014-Kildare-1735741
893,BMW 3 SERIES,POA,BMW,3,1.8,Petrol,"209,633",Manual,MPV,2012,Kildare,5,Red,7,-,Jul-2023,http://www.cars.ie/used-cars/BMW-3-SERIES-2012-Kildare-1735740
894,TOYOTA COROLLA,POA,TOYOTA,COROLLA,1.4,Petrol,"371,503",Manual,Hatchback,2007,Kildare,5,Grey,2,-,Feb-2023,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2007-Kildare-1735739
895,TOYOTA COROLLA,POA,TOYOTA,COROLLA,1.0,Petrol,"114,194",Manual,Hatchback,2004,Kildare,5,Grey,2,-,-,http://www.cars.ie/used-cars/TOYOTA-COROLLA-2004-Kildare-1735738
896,FORD FOCUS,POA,FORD,FOCUS,2.3,Diesel,"286,463",Manual,Van,2017,Kildare,-,White,2,Dec-2022,Apr-2023,http://www.cars.ie/used-cars/FORD-FOCUS-2017-Kildare-1735737
897,RENAULT MASTER,"€11,450",RENAULT,MASTER,1.6,Diesel,"163,876",Manual,Saloon,2016,Galway,4,Blue,1,-,Nov-2023,http://www.cars.ie/used-cars/RENAULT-MASTER-2016-Galway-1735590
898,VOLKSWAGEN PASSAT,POA,VOLKSWAGEN,PASSAT,1.7,Diesel,"186,934",Manual,SUV,2015,Kildare,4,Silver,1,-,Oct-2023,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2015-Kildare-1735736
